Office Name,Office type,Office province,Phone number,Email address,Physical address,Website,Contact person,Link to Google Maps,Latitude,Longitude
Legal Aid SA Vryburg Local Office,Legal Aid South Africa,North West,(053) 927 0095 ,,"71 Vry Street, Vryburg, 8601","
www.legal-aid.co.za",Mr Aubrey Kunene,,-26.95988,24.7262522
Legal Aid SA Northern Cape/Western Cape Provincial Office,Legal Aid South Africa,Northern Cape,(021) 861 3000,,"Shiraz House, Brandwacht Office Park, Trumali Street, Stellenbosch, 7600","
www.legal-aid.co.za",Ms Nolitha Jali,,-33.9572549,18.8576253
Legal Aid SA Colesberg Local Office,Legal Aid South Africa,Northern Cape ,(051) 753 2281,,"8 Campbell Street, Colesberg, 9795","
www.legal-aid.co.za",Ms Lerato Maake,,-30.7197565,25.0988108
Legal Aid SA De Aar Satellite Office,Legal Aid South Africa,Northern Cape ,(053) 631 1950,,"47 Church Street, De Aar, 7000","
www.legal-aid.co.za",,,-30.6503866,24.0094615
Legal Aid SA Victoria West Satellite Office,Legal Aid South Africa,Northern Cape ,(053) 621 0039,,"14 Church Street, Victoria West, 7070","
www.legal-aid.co.za",,,-31.403954,23.117745
Legal Aid SA Kimberley Local Office,Legal Aid South Africa,Northern Cape ,(053) 832 2348,,"Pretmax Building, 4 Sydney Street, Kimberley, 8301","
www.legal-aid.co.za",Mr Motsamai Tlisane,,-28.7426882,24.7634315
Legal Aid SA Hartswater Satellite Office,Legal Aid South Africa,Northern Cape ,(053) 474 0341,,"Checkers Centre, 5 DF Malan Street, Hartswater, 8570","
www.legal-aid.co.za",,,-27.7537535,24.8061633
Legal Aid SA Upington Local Office,Legal Aid South Africa,Northern Cape ,(054) 337 9200,,"11 Lutz Street, Upington, 8800","
www.legal-aid.co.za",Ms Annemi Duursema-Joubert,,-28.4583898,21.2447962
Legal Aid SA Kuruman Satellite Office,Legal Aid South Africa,Northern Cape ,(053) 712 3782,,"33 Bear Street, Kuruman, 8460","
www.legal-aid.co.za",,,-27.4628007,23.4322869
Legal Aid SA Postmasburg Satellite Office,Legal Aid South Africa,"
Northern Cape ",(053) 313 3642,,"22 Boe Street, Postmasburg, 8420","
www.legal-aid.co.za",,,-28.3092768,23.1084191
Legal Aid SA Prieska Satellite Office,Legal Aid South Africa,Northern Cape ,(053) 353 1184,,"37 Main Street, Prieska, 8940","
www.legal-aid.co.za",,,-29.6659785,22.7503535
Rental Housing Tribunal National Office,Rental Housing Tribunal,Western Cape;Eastern Cape;KwaZulu-Natal;Free state;Gauteng;Mpumalanga;Limpopo;North West;Northern Cape,(012) 444 5212,ronald.mukhombo@gov.za,"539 Stanza Bopape Street, Arcadia, Pretoria",http://www.dhs.gov.za,Mr. Ronald Mukhombo,,-25.7454427,28.2053678
Rental Housing Tribunal Western Cape Provincial Office,Rental Housing Tribunal,Western Cape,(021) 483 5020,rht.disputes@westerncape.gov.za,"9 Wale St, Cape Town City Centre, Cape Town, 8000",www.westerncape.gov.za,,,-33.9241632,18.418636
Rental Housing Tribunal Eastern Cape Provincial Office,Rental Housing Tribunal,Eastern Cape,(043) 711 9622 ,mbulelop@ecdhs.gov.za,"31- 33 Phillip Frame Road Waverly Park, Chislehurst. East London ",http://www.dhs.gov.za,Mr Mbulelo Plaatjie,,-32.9873041,27.8905708
Rental Housing Tribunal KwaZulu-Natal Provincial Office,Rental Housing Tribunal,KwaZulu-Natal,(031) 372 1822 ,Hlengiwe.chili@kzndhs.gov.za,"353-363 Pexley Ka Seme Street, Durban. ",http://www.dhs.gov.za,Ms Hlengiwe Chili,,-29.8589136,31.0227405
Rental Housing Tribunal Free State Provincial Office,Rental Housing Tribunal,Free State,(051) 405 4965 ,Ofentse@fshs.gov.za,"Lebogang BuildingCnr Markgraaf & St Andrews street, Bloemfontein",http://www.dhs.gov.za,Ms. Ofentse Seate,,-29.1166871,26.2205783
Rental Housing Tribunal Gauteng Provincial Office ,Rental Housing Tribunal,Gauteng,(011) 630 5001,betty.kgobe@gauteng.gov.za,Ikusasa House 4th Floor 129 Fox Street. Johannesburg,http://www.dhs.gov.za,Ms. B. Kgobe,,-26.2055696,28.0446124
Rental Housing Tribunal Mpumalanga Provincial Office,Rental Housing Tribunal,Mpumalanga,(013) 757 0792 ,rentaltribunal@mpg.gov.za,"Cnr Emontweni Avenue and Kaewldorp, Mbombela.",http://www.dhs.gov.za,Mr. R. Ledwaba,,-25.4752984,30.9694163
Rental Housing Tribunal Limpopo Provincial Office,Rental Housing Tribunal,Limpopo,(015) 284 5426 ,manganyehg@coghsta.limpopo.gov.za,20 Rabe & Lanfros Mare Street. Polokwane.,http://www.dhs.gov.za,Ms. Gladys Manganye,,-23.8726825,29.4640763
Rental Housing Tribunal North West Provincial Office,Rental Housing Tribunal,North West,(018) 388 5531,smoagi@nwpg.gov.za,"University Drive Building, 2nd floor. Mafikeng ",http://www.dhs.gov.za,Ms. S. Moagi,,-25.855978,25.64031
Rental Housing Tribunal Northern Cape Provincial Office,Rental Housing Tribunal,Northern Cape ,(053) 830 9572 ,lpaul@ncpg.gov.za,"9 Cecil Sussman Road, Kimberley",http://www.dhs.gov.za,Mr. L. Paul,,-28.729589,24.7610648
Legal Practice Council National Office,Legal Practice Council,Western Cape;Eastern Cape;KwaZulu-Natal;Free state;Gauteng;Mpumalanga;Limpopo;North West;Northern Cape,(010) 001 8500,info@lpc.org.za,"94 Bekker Road, Vorna Valley, Midrand, 1685",https://lpc.org.za,,,-26.0098862,28.1136891
Legal Practice Council Western Cape Provincial Office,Legal Practice Council,Western Cape,(021) 443 6751,infowc@lpc.org.za,"26th & 27th Floors, Foreshore Place, A 2 Riebeek Street, Cape Town,  8001.",https://lpc.org.za,,,-33.9203785,18.4243079
Legal Practice Council Eastern Cape Provincial Office,Legal Practice Council,Eastern Cape,(043) 050 1025,infoec@lpc.org.za,"44 Pearce Street, Berea, East London",https://lpc.org.za,,,-32.9931098,27.916192
Legal Practice Council KwaZulu-Natal Provincial Office,Legal Practice Council,KwaZulu-Natal,(033) 345 1304,infokzn@lpc.org.za,"1ST Floor, 200 Hoosen Haffejee Street, Pietermaritzburg, 3201",https://lpc.org.za,,,-29.6014211,30.3748846
Legal Practice Council Free State Provincial Office,Legal Practice Council,Free State,(051) 4473237,infofs@lpc.org.za,"139 Zastron Street, Westdene, Bloemfontein, 9300",https://lpc.org.za,,,-29.11122,26.2097657
Legal Practice Council Gauteng Provincial Office,Legal Practice Council,Gauteng,(012) 338 5800,infogp@lpc.org.za,"Procforum Building, 123 Paul Kruger Street, Pretoria,0002",https://lpc.org.za,,,-25.744159,28.187434
Legal Practice Council Mpumalanga Provincial Office,Legal Practice Council,Mpumalanga,(017) 200 2487,infomp@lpc.org.za,"18 Bell Street, Bell towers, Ground Floor, Nelspruit",https://lpc.org.za,,,-25.4713586,30.9804997
Legal Practice Council Limpopo Provincial Office,Legal Practice Council,Limpopo,(015) 590 0389,infolp@lpc.org.za,"2 Biccard Street, Unit 2 JCJ Building, Polokwane, 0700",https://lpc.org.za,,,-23.9192399,29.45893
Legal Practice Council North West Provincial Office,Legal Practice Council,North West,(018) 011 0093,infonw@lpc.org.za,"No. 2 Aerodrome Crescent, Mahikeng",https://lpc.org.za,,,-25.8435558,25.6374459
Legal Practice Council Northern Cape Provincial Office,Legal Practice Council,Northern Cape ,(053) 0500508,infonc@lpc.org.za,"219 Du Toitspan Street, Belgravia, Kimberley",https://lpc.org.za,,,-28.74845,24.77749
UCT Law Clinic,University Law Clinics,Western Cape,(021) 650 3775,uctlawclinic@uct.ac.za,"Room 436 4th Floor Kramer Law School, UCT Middle Campus Rondebosch, Cape Town, 7700",,,,-33.9575279,18.465148
UCT Refugee Law Centre,University Law Clinics,Western Cape,(021) 650 3775,refugeelawclinic@uct.ac.za,"Unit 4th Floor Kramer Law School, UCT Middle Campus",,,,-33.9575279,18.465148
UWC Law Clinic,University Law Clinics,Western Cape,(021) 959 2756,edurojaye@uwc.ac.za,"Old Library Building, University of the Western Cape, Modderdam Rd, Bellville, Cape Town, 7530, South Africa",,,,-33.9335203,18.627958
University of Fort Hare Legal Clinic,University Law Clinics,Eastern Cape,(043) 704 7520,pzinto@ufh.ac.za,"6th Floor, Gasson Centre, 50 Church Street, CBD, East London, 5201",www.ufh.ac.za/faculties/law/,N Chetty,,-33.0205195,27.9073109
Rhodes University Law Clinic,University Law Clinics,Eastern Cape,(046) 603 7656,lawclinic@ru.ac.za,"41 New Street, Grahamstown, 6139",www.ru.ac.za/lawclinic,R McDonald,,-33.3098775,26.5227602
Nelson Mandela University Law Clinic,University Law Clinics,Eastern Cape,(041) 504 1111,sonia.yawa@mandela.ac.za ,"Nelson Mandela University, Gqeberha, 6031, South Africa",www.crimproclaw.mandela.ac.za/Law-Clinic#,Sonia Yawa,,-33.9608369,25.6022423
Walter Sisulu University,University Law Clinics,Eastern Cape,(047)531 6075,lawclinic@wsu.ac.za,"WSU Admin Block, Walter SIsulu University, Nelson Mandela Drive Campus, Mthatha",,Mr V Nosindwa,,-31.5938528,28.7621768
University of the Free State Law Clinic,University Law Clinics,Free State,(051) 401 9971,antohniep@ufs.ac.za,"Room C206, Mabaleng Building, Block B, C/o Nelson Mandela Drive & Sport Avenue, UFS Main Campus, Bloemfontein",http://law.ufs.ac.za/,Christopher Rawson,,-29.1078999,26.1821454
University of the Witwatersrand Law Clinic,University Law Clinics,Gauteng,(011) 717 8562,wendy.miya@wits.ac.za,"1 Jan Smuts Avenue, Braamfontein, Wits University, West Campus",https://www.wits.ac.za/lawclinic/11045/witslawclinic.html,W Miya,,-26.1928836,28.0304733
University of Johannesburg Law Clinic,University Law Clinics,Gauteng,(011) 559 2633,magdao@uj.ac.za,"UJ Auckland Park Kingsway Campus Law Clinic, Masada Building",http://www.uj.ac.za,N Naidoo,,-26.1826272,28.0039326
University of Pretoria Law Clinic,University Law Clinics,Gauteng,(012) 420 5910,francina.ngidi@up.ac.za,"University of Pretoria Law Clinic, 1107 South Street, Hatfield, Pretoria, 0002",https://www.up.ac.za/up-law-clinic-home-page,Mrs Francina Ngidi,,-25.753886,28.2360645
UNISA Law Clinic,University Law Clinics,Gauteng,(012) 481 2954,LawClinic@unisa.ac.za,"12A/RG21 Joubert St, Sunnyside, Pretoria, 0002, South Africa","https://www.unisa.ac.za/sites/corporate/default/Colleges/Law/Schools,-departments,-centres-&-institute/Unit/Unisa-Law-Clinic",,,-25.7555449,28.199673
Vaal University of Technology Law Clinic,University Law Clinics,Gauteng,(016) 950 9000,,"Andries Potgieter Blvd, Private Bag X021, Vanderbijlpark, 1900, Gauteng, South Africa",www.vut.ac.za/supervising-attorney-law-clinic/,,,-26.7161786,27.8630845
University of KwaZulu-Natal Law Clinic,University Law Clinics,KwaZulu-Natal,(031) 260 2446,ukznlawclinic@gmail.com,"269 Mazisi Kunene Rd, Durban, 4001",http://www.ukzn.ac.za/,,,-29.8586067,30.9863246
University of Venda Law Clinic,University Law Clinics,Limpopo,(015) 962 8634,Tshifhiwa.tshishonga@univen.ac.za,"School of Law Building, Office No F030, University Road,Thohoyandou, Limpopo",http://www.univen.ac.za/index.php?Entity=Legal%20Aid%20Clinic&Sch=6,,,-22.878541,30.4818446
University of Limpopo Law Clinic,University Law Clinics,Limpopo,(015) 268 2506,Siphiwe.Sikhakhane@ul.ac.za,"Office No 16, Ground Floor, R Block, No 1, University Road, Mankweng",www.ul.ac.za,,,-23.8874526,29.7311797
Stellenbosch University Law Clinic,University Law Clinics,Western Cape,(021) 808 3600,rhkadmin@sun.ac.za,"418-24 Crozier Street, Stellenbosch, Western Cape, 7600",www.sulawclinic.co.za,,,-33.9330605,18.8610145
Ndifuna Ukwazi Law Centre (NU),NGO Law Clinics,Western Cape,(021) 012 5094,contact@nu.org.za,"18 Roeland St, Cape Town City Centre, Cape Town, 7100",www.nu.org.za,,,-33.9288122,18.4205201
Legal Resources Centre (LRC),NGO Law Clinics,Western Cape,(021) 879 2398,info@lrc.org.za,"Aintree Office Park, Block D, Ground Floor, Corner Doncaster Road and Loch Road, Kenilworth, Cape Town, 7708",www.lrc.org.za,,,31.4063632,73.1069298
Legal Resources Centre (LRC) National Office ,NGO Law Clinics,Western Cape;Eastern Cape;KwaZulu-Natal;Free state;Gauteng;Mpumalanga;Limpopo;North West;Northern Cape,(011) 038 9709,info@lrc.org.za,"2nd Floor West Wing, Women’s Jail, Constitution Hill, 1 Kotze Street, Braamfontein",www.lrc.org.za,,,-26.1903118,28.0417696
Legal Resources Centre (LRC),NGO Law Clinics,KwaZulu-Natal,(031) 301 7572,info@lrc.org.za,"11th Floor, Aquasky Towers, 275 Anton Lembede Street, Durban, 4001",www.lrc.org.za,,,-29.8594151,31.0253277
Legal Resources Centre (LRC),NGO Law Clinics,Eastern Cape,(046) 622 9230,info@lrc.org.za,"116 High Street, Makhanda, 6139",www.lrc.org.za,,,-33.3123042,26.5232846
Socio-Economic Rights Institute of South Africa (SERI),NGO Law Clinics,Gauteng,(011) 356 5860,sanele@seri-sa.org,"6th floor Aspern House, 54 De Korte Street, Braamfontein 2001, Johannesburg, South Africa",https://www.seri-sa.org/index.php,,,-26.1940707,28.0330274
ProBono.Org,NGO Law Clinics,Gauteng,(011) 339 6080,info@probono.org.za,"1st Floor West Wing, Women’s Jail, Constitution Hill, 1 Kotze Street, Braamfontein, Johannesburg. ",www.probono.org.za,,,-26.1903118,28.0417696
ProBono.Org,NGO Law Clinics,KwaZulu-Natal,(031) 301 6178,dbninfor@probono.org.za,"303 Anton Lembede Street, Suite 701, 7th Floor, Durban Club Chambers, Durban, 4001. ",www.probono.org.za,,,-29.8601043,31.0242288
ProBono.Org,NGO Law Clinics,Western Cape,(086) 665 6740,infocpt@probono.org.za,"Suite 200, Second Floor, 57 On Strand, Strand Street",www.probono.org.za,,,51.5112079,-0.1193447
Lawyers for Human Rights (LHR) Law Clinics,NGO Law Clinics,Gauteng,(012) 320 2943,info@lhr.org.za,"Kutlwanong Democracy Centre, 357 Visagie Street, Pretoria",www.lhr.org.za,Thato Gaffane,,-25.7524375,28.1963768
Lawyers for Human Rights (LHR) Law Clinics,NGO Law Clinics,Gauteng,(011) 339 1960,info@lhr.org.za,"4th Floor Southpoint Corner Building, 87 De Korte Street, Braamfontein",www.lhr.org.za,Ratanang Lekgwata,,-26.1932475,28.0361279
Lawyers for Human Rights (LHR) Law Clinics,NGO Law Clinics,Western Cape,(021) 424 8561,info@lhr.org.za,"295 Lower Main Road, Observatory, Cape Town",www.lhr.org.za,Ntombentsha Zwane,,-33.9329272,18.4662975
Lawyers for Human Rights (LHR) Law Clinics,NGO Law Clinics,Limpopo,(015) 534 2203,info@lhr.org.za,"18 Watson Avenue, Musina, Limpopo",www.lhr.org.za,Ratanang Lekgwata,,-22.3812506,30.0318547
Lawyers for Human Rights (LHR) Law Clinics,NGO Law Clinics,KwaZulu-Natal,(031) 301 0531,info@lhr.org.za,"Room S104, Diakonia Centre, 20th Diakonia Avenue (formerly St. Andrews Street), Durban ",www.lhr.org.za,Dieudonne Bushabu,,-29.862455,31.017674
The Legal Advisory and Information Centre (LAIC),NGO Law Clinics,Gauteng,(067) 681 3260,info@laic.org.za,"Kopanong Community Centre, 2332 Luthuli Street, Dobsonville, Soweto",http://laic.org.za/,,,-26.22332,27.86315
Haki Legal Clinic,NGO Law Clinics,Gauteng,(067) 070 5130,info@haki.org.za,"Johannesburg Chamber of Commerce House, 5th floor, 27 Owl Street (corner Empire & Owl St), Milpark, Johannesburg, 2092.",http://haki.org.za,,,-26.1838027,28.0196148
Unizulu Law Clinic,NGO Law Clinics,KwaZulu-Natal,(035) 902 6011,NgobeseM@unizulu.ac.za,University of Zululand,http://www.unizulu.ac.za/faculties/faculty-of-commerce/4about-us/,Mbuyiselo Vilakazi,,-28.7575813,32.0496905
North West Mahikeng Law Clinic,NGO Law Clinics,North West,(018) 389 2595,Simon.rasikhalela@nwu.ac.za,"Corner Albert Luthuli & University Drive,Block A2B Base Building Mmabatho 2735",http://law.nwu.ac.za/Community-Law-Centre,,,-25.8377623,25.594752
North West University Potchefstroom Law Clinic,NGO Law Clinics,North West,(018) 297 5341,Regskliniek-Potch@nwu.ac.z,1st floor GKSA Administrative Building C/o Thabo Mbeki Drive & Meyer Street,http://law.nwu.ac.za,,,42.2439918,-85.6751655
Mpumalanga Access to Justice Cluster (North West University),NGO Law Clinics,Mpumalanga,(018) 297 5341,Regskliniek-Potch@nwu.ac.z,1st floor GKSA Administrative Building C/o Thabo Mbeki Drive & Meyer Street,http://law.nwu.ac.za,,,42.2439918,-85.6751655
Adelaide Advice Office,Advice Office,Eastern Cape,,PatriciaD@caosasouthafrica.org.za,"56 Marais Street, Adelaide, 5760",,Patricia De Lange,,-32.70604,26.29384
Alwande Ulwazi Community Advice Centre,Advice Office,Eastern Cape,,AsisithiZ@caosasouthafrica.org.za,"69 Courtlane Street,Ngcobo, 5050",,Asisithi Zihlangu,,-31.47986,28.90318
Alicedale Community Attempt Reachty Empowerment,Advice Office,Eastern Cape,,PhumlaG@caosasouthafrica.org.za,"10 Nkule Street, Kwanozwakazi Location",,Phumla Edith Gojela,,-33.31933,26.09424
Aliwal North Legal and Community Advice Centre,Advice Office,Eastern Cape,,JuliusM@caosasouthafrica.org.za,"1811 Broadway Street, Aliwal North, 9750",,Tebogo Chabeli,,-30.68792,26.70888
Barkly East Advice Office,Advice Office,Eastern Cape,,ThenjiswaP@caosasouthafrica.org.za,No 2 Greyvenstein Street Barkly East 9786,,Thenjiswa Peter,,-30.96462,27.59526
Bathurst Advice Office,Advice Office,Eastern Cape,,NtsikeleloQ@caosasouthafrica.org.za,"1214 Lungisani Road, Bathurst, 6166",,Ntsikelelo Qabo,,-33.5006,26.8237
Berlin Advice Centre,Advice Office,Eastern Cape,,VuyaniZ@caosasouthafrica.org.za,"7 Wilmans Street, Berlin, 5660",,Vuyani Zatu,,-32.88522,27.57547
Bizana Community Advice Centre,Advice Office,Eastern Cape,,BonganiM@caosasouthafrica.org.za,Imizizi A/A Nyaka Location,,Bongani Mbokwana,,-31.03763,30.11064
Cofimvaba Advice Office,Advice Office,Eastern Cape,,MakayaK@caosasouthafrica.org.za,Old Education Building Cofimvaba,,Makaya Kambi/Minazana Kambi,,-32.00408,27.58247
Cradock Advice Office,Advice Office,Eastern Cape,,NomjikeloS@caosasouthafrica.org.za,"Corner lamane & Ncaca Street, Masizame Centre",,Nomjikelo Slindelo,,-32.84832,27.44078
Daliwe Advice Centre,Advice Office,Eastern Cape,,SidwellK@caosasouthafrica.org.za,939 Mvubu Street Katikati Township Cathcart 5310,,Sidwell King,,-32.28915,27.16051
Dordrecht Legal Advice & Community Development Agency,Advice Office,Eastern Cape,,NokuphumlaT@caosasouthafrica.org.za,3 Klip Street Dordrecht 5435,,Nokuphumla Tyalimpi,,-31.37723,27.04784
Elliot Paralegal Advice & Community Development Centre,Advice Office,Eastern Cape,,BabalwaM@caosasouthafrica.org.za,42 Voortrekker Street Elliot 5460,,Nono Babalwa Melzer,,-31.33211,27.85054
Engcobo Community Legal Advice Office,Advice Office,Eastern Cape,,MabelT@caosasouthafrica.org.za,Nkondlo Administrative Area Coghlan Ngcobo 5054,,Mabel Nombulelo Taleni,,-31.65024,28.23459
Flagstaff Community Advice Centre,Advice Office,Eastern Cape,,BomikaziM@caosasouthafrica.org.za,ERI 101 Magistrate Offices Flagstaff 4810,,Bomikazi Mhlongo,,-31.08008,29.49426
Herschel Legal Advice Centre,Advice Office,Eastern Cape,,SizekaM@caosasouthafrica.org.za,92 Van Tondor Street Sterkspruit 9762,,Sizeka Mavumengwana,,-30.52799,27.36714
Hewu Advice Office,Advice Office,Eastern Cape,,BonganiS@caosasouthafrica.org.za,180 Sheptone Street Whittlesea,,Bongani Sihlahla,,-32.17384,26.82283
Hofmeyr Advice Centre,Advice Office,Eastern Cape,,MhakaziS@caosasouthafrica.org.za,"27 Voortrekker Street, Hofmeyr, 5930",,Mhakazi Olivia Sintu,,-31.65233,25.80635
Interchurch Local Development Agency,Advice Office,Eastern Cape,,NobuzweM@caosasouthafrica.org.za,"58 Constitution Street, Uitenhage, 6230",,Nobuzwe Mofokeng,,-33.77082,25.40238
Jamestown Legal Advice & Community Development Centre,Advice Office,Eastern Cape,,SB@caosasouthafrica.org.za,21 Van Hirschberg Street Jamestown 9742,,S.Bakaqana,,-33.31154,26.51451
Jersey Farm Advice and Information Centre,Advice Office,Eastern Cape,,CynthiaB@caosasouthafrica.org.za,"No 50 Elliot street Office No 1/28 ECDC Building, Mthatha, 5099",,Cynthia Nomthandazo Bewana,,-31.5863,28.7881
Latita Care and Development Centre,Advice Office,Eastern Cape,,NombuyiseloS@caosasouthafrica.org.za,Lugelweni Location Mount Ayliff,,Nombuyiselo Sigadla,,-30.80835,29.36766
Lusikisiki Paralegal Advice Centre,Advice Office,Eastern Cape,,NombiniS@caosasouthafrica.org.za,55A Standford Street Lusikisiki,,Nombini Sobekwa,,-31.36052,29.57358
Maclean Town Advice Office,Advice Office,Eastern Cape,,ThabisaR@caosasouthafrica.org.za,No 37 Jones Street Maclean Town 5280,,Thabisa Ratshi,,-32.79272,27.74205
Masiphakameni Local Development Agency,Advice Office,Eastern Cape,,PhumezaS@caosasouthafrica.org.za,"394 Mjekula Street, Kwanomzamo Location, Humansdorp, 6300",,Phumeza Sibongile,,-34.03769,24.77421
Matatiele Information and Development Centre,Advice Office,Eastern Cape,,AllenN@caosasouthafrica.org.za,"Transnet Building Railway Station, Matatiel, 4730",,Allen Nkomo,,-30.32835,28.80761
Metro Community Service,Advice Office,Eastern Cape,,MxolisiG@caosasouthafrica.org.za,"ERF 336 Victoria Street, Peddie, 4640",,Mxolisi Gayi,,-33.19648,27.11828
Middelburg Development Advice Office,Advice Office,Eastern Cape,,NyanisileK@caosasouthafrica.org.za,10 Reformed Church Building Loop Street Middleburg E/C,,Nyanisile Kambi,,-31.49753,25.01396
Mount Fletcher Advice Centre,Advice Office,Eastern Cape,,ThembinkosiH@caosasouthafrica.org.za,Main Street Transido Building Room No 08,,Thembinkosi Hlathi,,-32.84832,27.44078
Mount Frere Paralegal Advice Centre,Advice Office,Eastern Cape,,FennieK@caosasouthafrica.org.za,"Main Street, Mount Frere, ERF 173 5090",,Fennie Kakaza,,-30.90499,28.99242
Mqanduli Community Advice Centre (Wilo),Advice Office,Eastern Cape,,ClarensX@caosasouthafrica.org.za,"Department of Agriculture Premises Main Street, Mqanduli, 5080",,Clarens Mthuthuzeli Xiniwe,,-31.82253,28.7607
Nonesi Community Development and Resource Centre,Advice Office,Eastern Cape,,GcotyelwaX@caosasouthafrica.org.za,No 84 Ebden Street Queenstown 5319,,Gcotyelwa Xaba,,-31.89874,26.88268
Ntuthuzelo Advice Centre,Advice Office,Eastern Cape,,NombuyiseloN@caosasouthafrica.org.za,11607 Military Road Peddie Extension Peddie 5640,,Nombuyiselo Nkuzo,,-33.19829,27.11486
Port St Johns Community Legal Advice Centre,Advice Office,Eastern Cape,,NombonisoG@caosasouthafrica.org.za,166 Church Street Port St Johns,,Nomboniso Gaya,,-31.62358,29.54455
Qunu Community Advice Centre,Advice Office,Eastern Cape,,PhiliswaG@caosasouthafrica.org.za,Qunu Thusong Community Centre Qunu Village,,Philiswa Gwazela,,-31.78343,28.61961
Siyazidla Ngekhaya Lethu Indwe,Advice Office,Eastern Cape,,DyaniA@caosasouthafrica.org.za,07 Graham Street Commercial Phase 1 Indwe 5445,,Sandile Tsewu,,-31.46865,27.33874
Tholulwazi Development Organisation,Advice Office,Eastern Cape,,Bongani@caosasouthafrica.org.za,Main Street Enkululekweni Location Mount Fletcher 4770,,Bongani Madotyeni,,-30.69029,28.50386
Tshatshu Advice Centre,Advice Office,Eastern Cape,,ThandekaK@caosasouthafrica.org.za,Tshatshu Village Lady Frere 5410,,Thandeka Agnes Kili,,-31.70224,27.22955
Zanoncedo Empowerment Centre,Advice Office,Eastern Cape,,MandisaD@caosasouthafrica.org.za,Mpongo Location Chalumna East London 5200,,Mandisa Dukashe,,-33.01524,27.90396
Batho Ba Lerato Advice Office,Advice Office,Free State,,LeratoM@caosasouthafrica.org.za,Lenyatso Nyaredi Road Thaba -Nchu 9780,,Lerato Moeng,,-29.18383,26.80414
Bokamoso Community Based Organisation,Advice Office,Free State,,PontsoM@caosasouthafrica.org.za,1924 L Section Botshabelo 9781,,Pontso Motoko,,-29.20788,26.71923
Dignity Victim Support Group,Advice Office,Free State,,NomthandazoN@caosasouthafrica.org.za,Trerk Straat Vrede Police Station 9835,,Nomthandazo Nhlapo,,-27.42971,29.16461
Dihlabeng Development Initiative,Advice Office,Free State,,VictorM@caosasouthafrica.org.za,"2667A Tsoella Street, Bohlokong Location, Bethlehem, 9702",,Victor Mofokeng,,-28.21761,28.31772
Ficksburg Community Advice Centre,Advice Office,Free State,,NomaswaziT@caosasouthafrica.org.za,2643 Shop No 3 Shopping Centre Meqheleng Ficksburg,,Nomaswazi Tshabalala,,-28.87547,27.88007
Hennenman Victim Empowerment Forum,Advice Office,Free State,,DladlaM@caosasouthafrica.org.za,14 Poelano House Skool Street Hennenman 9445,,Dladla Mokeki,,-27.97517,27.03224
Iketsetseng Community Advice Office,Advice Office,Free State,,PitsoL@caosasouthafrica.org.za,41 Grey Street Bethulie 9992,,Pitso Lesenyeho,,-30.49718,25.97911
Kgubetswana Advice Centre,Advice Office,Free State,,NomaswaziT@caosasouthafrica.org.za,920 Tsoella Street Bethlehem 9700,,Mbhengu Tshabalala,,-28.20812,28.32899
Mafube Advice Centre,Advice Office,Free State,,DladlaM@caosasouthafrica.org.za,867 Butoyi Sec Namohodi Frankfort 9830,,Ausi Dopsi Mosia,,-27.27764,28.49345
Mangaung Advice Centre,Advice Office,Free State,,PitsoL@caosasouthafrica.org.za,2113 Bloemside Phase 10 Bloemfontein 9323,,Ben Thane,,-29.16146,26.25664
N5 Resource Centre,Advice Office,Free State,,DavidM@caosasouthafrica.org.za,Highfield Building 35A Roux Street Office No 6 Bethlehem,,David Molaba,,-28.23438,28.30881
Nketoana Advice Office,Advice Office,Free State,,LeratoS@caosasouthafrica.org.za,20 Ntha Lindley 9630,,Lerato Shabalala,,-27.8812,27.92046
Phakama Youth Club and Advice Office,Advice Office,Free State,,BabyK@caosasouthafrica.org.za,"861B Malebogo Community Hall, Malebogo Location Hertzogville, 9482",,Baby Kwitsi,,-28.12826,25.50765
Qholaqhwe Advice Office,Advice Office,Free State,,MapasekaM@caosasouthafrica.org.za,"Room 20-23, Cosultancy building, Phutaditshaba 9866",,Mapaseka Madonsela,,-28.48438,28.85172
Sisonke Community Advice Office,Advice Office,Free State,,DanileL@caosasouthafrica.org.za,1029 Moabi Street Monyakeng Wesselsbron 9680,,Danile Lemon,,-27.82612,26.3794
Sivile Advice Centre,Advice Office,Free State,,DimakatsoN@caosasouthafrica.org.za,426 Lobi Street Smithfield 9966,,Dimakatso Nonyane,,-30.21186,26.53043
Thusanang Advice Centre,Advice Office,Free State,,BK@caosasouthafrica.org.za,"8955 Mamello Street, Phuthaditshaba, 9866",,L.J. Makae,,-28.52538,28.80913
Thlolong Legal Advice Centre,Advice Office,Free State,,EnockT@caosasouthafrica.org.za,411 Boipatong Kestell 9860,,Enock Tapudi,,-28.30708,28.7021
Tshireletso Against Woman Abuse,Advice Office,Free State,,AngelinaT@caosasouthafrica.org.za,58 Dewets Street Dewetsdorp,,Angelina Tsuene,,-29.58293,26.66806
Tshireletso Victim Empowerment Centre,Advice Office,Free State,,KR@caosasouthafrica.org.za,11 Le Rey Street Hoopstad 9479,,K.E. Raseu,,-27.83538,25.90636
Ubuntu Legal Advice and Development Centre,Advice Office,Free State,,SollyM@caosasouthafrica.org.za,10060 Kenzi-Town Phuthaditjhaba 9870,,Solly Malakoane,,-28.51816,28.81876
